"Story","Title","Result","Date","Stability","Duration (s)"
"Registro usuario","El usuario se registra exitosamente","PENDING","2024-12-04T14:51:59.6978046-05:00[America/Bogota]","0.0","0.19"
"Registro usuario","El usuario se registra exitosamente","SUCCESS","2024-12-04T21:18:26.170173-05:00[America/Bogota]","0.0","7.49"
